Comment number,class,comment,processed_comment
22.0,1.0,""" cancel that bitch like Nino """,cancel bitch like nino
23.0,1.0,""" cant you see these hoes wont change """,cant see hoe wont change
24.0,1.0,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",fuck bitch dont even suck dick 128514128514128514 kermit video bout fuck ig
25.0,1.0,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",got bitch tip toeing hardwood floor 128514 httptcocou2wq5l4q
26.0,1.0,""" her pussy lips like Heaven doors "" &#128524;",pussy lip like heaven door 128524
27.0,1.0,""" hoe what its hitting for """,hoe hitting
28.0,1.0,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",met pussy ocean dr gave pussy pill 128524
29.0,1.0,""" i need a trippy bitch who fuck on Hennessy """,need trippy bitch fuck hennessy
30.0,1.0,""" i spend my money how i want bitch its my business """,spend money want bitch business
31.0,1.0,""" i txt my old bitch my new bitch pussy wetter """,txt old bitch new bitch pussy wetter
32.0,1.0,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",id say im back old old bitch would get excited 128524
33.0,1.0,""" if you aint bout that Murder Game pussy nigga shut up """,aint bout murder game pussy nigga shut
34.0,1.0,""" if you're toes ain't done you pussy stinks """,youre toe aint done pussy stink
35.0,1.0,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,im done bitter bitch wrap angry bird there app
36.0,1.0,""" is that ya bitch """,bitch
37.0,1.0,""" it aint nothing to cut a bitch off """,aint nothing cut bitch
38.0,1.0,""" jus meet son now he ya mane ass bitches "" #Shots",jus meet son mane as bitch shot
39.0,1.0,""" lames crying over hoes thats tears of a clown """,lame cry hoe thats tear clown
40.0,1.0,""" like Snoop said in 94 we dont love these hoes """,like snoop said 94 dont love hoe
41.0,2.0,""" momma said no pussy cats inside my doghouse """,momma said pussy cat inside doghouse
42.0,1.0,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",hated hoe favorite 2mw sevenone httptcobmdsvmc3rc
43.0,1.0,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",nice girl bad make get naughty bad yello hoe real nice body south chick like em real thick httptcobzrdl3kf7u
44.0,1.0,""" pimps up pimps up hoes down "" Future voice",pimp pimp hoe future voice
45.0,1.0,""" post a picture of that pussy get 200 likes """,post picture pussy get 200 like
46.0,1.0,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",pussy powerful drug 128517 happyhumpday httptcor8jsymib5b
47.0,1.0,""" quick piece of pussy call it a drive by """,quick piece pussy call drive
48.0,1.0,""" running round here like some brand new pussy thats bout to get fucked """,running round like brand new pussy thats bout get fucked
49.0,1.0,""" these bitches even worst they'll send them guys for you """,bitch even worst theyll send guy
50.0,1.0,""" these hoes like niggas that spend money not talk bout it """,hoe like nigga spend money talk bout
51.0,1.0,""" we dont trust these niggas all these bitches """,dont trust nigga bitch
52.0,1.0,""" yall niggas b cuffing hoes cause yall aint never have bitches """,yall nigga b cuffing hoe cause yall aint never bitch
53.0,1.0,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",dodge bullet 128517 8220darealkha da bitch cut pregnant bound thank god 1285918221
54.0,1.0,""" young Pill Chamberlain these bitches love my music """,young pill chamberlain bitch love music
55.0,1.0,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",128514128514128514128514128514128514128514128514128514128514128514vandalsavage teanna trump probably cleaner twitter hoe
56.0,1.0,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",128514128514128514128514128514128514128514128514128514128514dahomiefuzz gay nigga couldnt wait act like bitch tonight
57.0,1.0,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",128514128514128514theparadox I going steal cat n replace pitbull 128514128514128514128514 rt 80sbaby4life theparadox bitch
58.0,1.0,"""&amp; he's gone always be a hoe""",amp he gone always hoe
59.0,1.0,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",son bitch took tic tacs like movie
60.0,1.0,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",wanna get money fuck model bitch russell simmons
61.0,1.0,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",2015seniorprobs probably wouldn8217t mind school much didn8217t deal bitch as teacher retweet
62.0,1.0,"""@A7XDemery: I'm a fucking fag they said""",a7xdemery im fucking fag said
63.0,1.0,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",arizzleindacut female think dating pussy cute httptcovxbjg26gsz stuff make pussy
64.0,2.0,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",addicted2guys simplyaddictedtoguys httptco1jl4hi8zmf woof woof hot scally lad
65.0,1.0,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",adorebellaaa ever asked bitch bitch kanye voice yes
66.0,1.0,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",adorezoey gone bring side bitch game know gf friend 128553128553128553128553 swear
67.0,2.0,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",allaboutmanfeet httptco3gzupfumev woof woof hot sol
68.0,2.0,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",allyhaaaaa lemmie eat oreo amp dish one oreo laugh loud
69.0,1.0,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",almightywayne jetsandaswisher gook bitch fuck httptcopxmga68nc1 maybe youll get better httptcotprevwfq0s
70.0,1.0,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",almightywayne fuck red malone man bitch as niggah could please use complete sentence
71.0,2.0,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",arizonasfinest6 eggplant emoji doey say looked like scream laughing as
72.0,1.0,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",autoworid hennessey venom gt 128584 httptcoi8egmnkaj9 thats one sexy bitch
73.0,1.0,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",bossbytchh seh pussy wetter shower curtainahmesehwetnessltlmao
74.0,1.0,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",brohen314 eaglesnation every eagle need see pic posted bitch said racist shit
75.0,1.0,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",bvsedchink hey fuck skateboarding yall wood pushing faggot man ball life httptcovbczp6hmt7 amjemiebenn
76.0,2.0,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",babyanimalpics baby monkey bathtime httptco7kpwadlf0r awwwwe soooo adorable
77.0,1.0,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",baylaagottabody 128514128514128514128514 aint shit damn skippy laugh loud
78.0,1.0,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",beeasyjrizzy ever kill ant sidewalk think damn nigga way get pussyno b must b gt30chance
79.0,1.0,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",beenbasedb kudabrazyy httptcoluubgl9y5u 0 ring 0 mvp 0 bitch laugh loud
80.0,1.0,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",beenflynsolo ppl talk bad ghettohood kid growing nigga funnnnnnn
81.0,1.0,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",bestproadvice fact tattoostattoo httptcozwnbhpdz8e he pussy tattooing nipple
82.0,1.0,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",bill215 128175128175128175 rt nelayden bitch wanting act like nigga bad 128553128553128553 shit aint cuteeeee nigga act like bitch
83.0,1.0,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",bitchjones92 get worshiping bitch httptcor37cejcjou woof woof
84.0,1.0,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",blackchiquitita wow rt thatmanpalmer im lost buttcheek piercings httptcoyn6guyouq6 yeah shes hoe
85.0,1.0,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",blacknerdjade ok sister shed rather broke bitch shrug shell tell work
86.0,0.0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",blackman38tide whalelookyhere howdydowdy11 queer gaywad
87.0,1.0,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",brokenpiecesmsc itsnotadam faggot read tweet dat k wasnt even funny laugh loud
88.0,1.0,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",brosconfessions bitch ungrateful httptco06e77bgwbx real lulwhore
89.0,1.0,"""@CASHandBOOBIES: I been kidnapped yo bitch""",cashandboobies kidnapped hey bitch
90.0,0.0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",cbbaby24 whitethunduh alsarabsss he beaner shaking head tell he mexican
91.0,1.0,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",ccobey aydanmccoy happy birthday nigs thanks hey
92.0,1.0,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",chlldhoodruiner teacher tell homework httpstcorkk5vawij1 bitch need go
93.0,1.0,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",caelang15 22edham caelang15 nigga eating hoe laugh loud hell yea laugh loud john paul nigga said john paul httptcoosipbkpr9h
94.0,1.0,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",canifuckornah would yall lil ugly bald headed bitch stop making makeup amp weave
95.0,1.0,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",carelessone92 leaf better win damn game go riot shit earlychristmas better start looting nig
96.0,1.0,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",causewereguys going back school suck dick hoe attend
97.0,1.0,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",causewereguys way fuck hey bitch httptcoj906t5ze2r 9 year old
98.0,1.0,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",celeynichole whitethunduh come never bring food dont car retard
99.0,1.0,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",chadmfverbeck richnow doesnt show hella tinder hoe im friend anymore chill brought like like 8 prople
100.0,1.0,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",chandlerparsons bout cowboy shutup pussy
101.0,1.0,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",clicquotsuave lmaooooooooooo nigga krillznuhcare httptcoaanpsujmyi ltbitch want like depressing shitfoh
102.0,1.0,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",coleycee lilaerii girl know spitting g shit amp going lbvsbitch please
103.0,1.0,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",coleycee let make couple tweet cuzzo page wont get twitter jaillmao bitch dont trick
104.0,1.0,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",comedyposts harlem shake excuse go full retard 30 second
105.0,1.0,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",comedytruth amen miley 128591 httptcop2kb2tfyxrokay dont need act like hoe bc shes emotionally damaged foh
106.0,1.0,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",corybandz one loyal female wayyyyy better hoe I care 128175
107.0,1.0,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",crhedrys pussy licking pussy meow meow stopwhitepeople2014 128049 httpstcokeegdcjs5k8221 128533
108.0,1.0,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",dbabholloway check 12th man cowboysnation even faggot ny fan stand
109.0,1.0,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",dgotbricks happen vixen ent bitch got ran threw side like foothill bitch
110.0,1.0,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",daedavidavie whitethunduh im bitch okay nude pat 128554128527128056 wow
111.0,0.0,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",devilgrimz vigxrarts youre fucking gay blacklisted hoe holding tehgodclan anyway httptcoxuccwoetmn
112.0,1.0,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",diamondloudkush fuck wrong bitch nobody know
113.0,1.0,"""@Dietrich1892: Yall shut up:p"" make me bitch",dietrich1892 yall shut upp make bitch
114.0,1.0,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",dionairish hate im pregnant type bitch
115.0,1.0,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",doyouq got bitch direct message dont ever readem top 3
116.0,2.0,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",domworldpeace baseball season win yankee love started
117.0,1.0,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",dommoneek little stupid bitch dont fuck yoooooouuuu
118.0,1.0,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",dreadheadari really asked amused as serious tho could say bitch wheet laugh loud
119.0,2.0,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",dunderbail im early bird im night owl im wise worm
120.0,2.0,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",edgarpixar overdosing heavy drug doesnt sound bad tonight pussy shit every day
121.0,2.0,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",elgrillo1 pit bull photographed lovely fairy tale creature httptcoq0sm89oolh8221 fairy tale creature
122.0,1.0,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",ferociousghost 1stnamebravo aw fag dont tweet aw laugh loud
123.0,2.0,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",flokid88 long lakers trash could careless thats real cc benballer hahaha
124.0,1.0,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",frosstyy h0rheyd didnt say anything tho kiss faggot
125.0,2.0,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",funnypicsdepot play soccer cheat girl wear khaki coloured cargo haircut httptcozuai7qwbir 128514 yup
126.0,1.0,"""@G27Status: I could go for a fat ass bitch on my lap"" same",g27status could go fat as bitch lap
127.0,1.0,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",gedmelle 17 missed call 128544128545das hey po bitch twitter finna screamn freemoneymelle
128.0,1.0,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",gtmal side bitch gotta know rule shitanybody ask cousin jersey thinkin bout moving lmmfao 128514128514128514128514
129.0,1.0,"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",gagatom1 8220malefoot 3 amo los pie httptco4qe1hdkk8i8221 fuck yeah
130.0,1.0,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",girlthatsvonte hoe thinking meat wont slap as 128564128075 ainna bruh
131.0,1.0,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",girlthatsvonte yall bitch wit edge talking 1285531285649995128514128514128514
132.0,1.0,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",girlthatsvonte yall still going trick treating year nahhell yeah I going da sweet tooth bandit steal bitch bag n shit
133.0,1.0,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",girllssues wanna sex mom fuck right pussy came damn got hacked like fuck
134.0,1.0,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",gizzyjones94 kiss eye open watch bitchlmfao
135.0,1.0,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",goofstroop woulda coulda shoulda as hoe 128563128586
136.0,1.0,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",gottiltf happy birthday bitch as nigga jetsandaswisherpreciate bitch roll
137.0,1.0,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",hbmostdope 1jayee pipinhoes used send bitch
138.0,1.0,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",hbmostdope ugly bitch like im wcw duh bitch aint nobody elses128514128514
139.0,1.0,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",halotgmg 1stnamebravo nigga know hacky sack hoe throw look pass laughing as
140.0,1.0,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",heartlessfuck glad im getting outta atlanta nothing bunch nigga amp outta jail amp dumb bitch mad kid fuckin em
141.0,2.0,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",hermosaalma isnt ghettoits smart httpstcompazq3jswf im I care
142.0,1.0,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",hiimjorib would wife hoe wouldnt care cheating force relationship first place
143.0,1.0,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",hornyfacts single isnt excuse hoe theonemissluu
144.0,1.0,"""@HoskinsTy96: White boy power bitch"" black power bitch",hoskinsty96 white boy power bitch black power bitch
145.0,1.0,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",hudgens11 let get drunk get blowed spit shit spark blunts amp fuck hoe brother white dude chill
146.0,1.0,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",iscoutgirls verballyabrupt bitch around world back
147.0,1.0,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",itsyahboiray anelylove dont get dick sucked hey party bad bitch im real gone set 128514128514128514128514 anelylove
148.0,1.0,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",itsyesie oomf soooo cute probably hoe lot
149.0,1.0,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",jayten9 every cartoon alway nuffsaid15 saving hoe laughing as httptco9ukd8wtz6x laughing as damn captain saveahoe
150.0,2.0,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",jreebo want get nose bad bois scally chav sockfetish stinking httptcofeqxgn0w6i hot sox leg
151.0,1.0,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",jamesynba wish bitch like brother keezy 128530 ooooow okay sure
152.0,1.0,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",jasminepore dressed cat halloween unoriginal pussy
153.0,1.0,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",jewelxo pornhub get gaming stream feature dumb bitch gtfo pornhub get katielt3
154.0,1.0,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",joebudden stop scared choke sex bitch as nigga she8217ll like say guy hit woman bed foh
155.0,1.0,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",johnny55perez whitethunduh ha well iguess make hoe loyal brother theyll never loyal hoe nig
156.0,1.0,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",kazatta 1takehov oh man 5 molly ho fuck seed fixed
157.0,1.0,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",kelsiebelsi youre man refer every girl bitch
158.0,1.0,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",keyshawnswag lmfao cat started beating shit nigga finally got pussy nigga
159.0,2.0,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",keyshawnswag peel peel bring back rewind back im move shaq line ooooow tf said trash
160.0,1.0,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",kingcuh 16stanleys io io alu record ho vine sai pe hahahaha laugh loud anywaaaaaays haha
161.0,1.0,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",kinghendo95 vondreaam naw old tape new cover upcoming mixtape kingofthehill yeah im waiting hoe mayne
162.0,1.0,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",kingteej ol dirty foot as bitch funny
163.0,1.0,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",kingshawn6 whitethunduh thats get yellow flag amazing 128079128524 hell yeah niggy
164.0,1.0,"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",kissmysmilee dont got time bitch actin iffy
165.0,2.0,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",knightfanneal ucfpinkparty come stay alive knight nation still early bird special comeatmeut
166.0,1.0,"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",kyranadiya hoe aint loyal aint httptcoh1ubsvbkgl smfh amp wonder nobody decent want
167.0,1.0,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",lcistj bruh stud keep thinking im soft hell ask girl many time screamed bitch oh okay stfu bye hoe
168.0,1.0,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",lodycash dry pussy bitch always blame condom128514128079128514128079128514
169.0,1.0,"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",lunaraps shut hey bitch as httpstcoiemn1u0gm5 128557128514
170.0,1.0,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",laflaregodjosh gucci mane jail dropping mixtapes every month hoe cant even text back
171.0,1.0,"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",latrobemark love hoe money wats wrong nigga
